Dates_DOS	Season	Major Events	Date_of_Week	DoW_Nr	WD_WE	Month
2018-02-08	High		Thu	5	WE	Feb
2018-02-07	High		Wed	4	WD	Feb
2018-02-06	High		Tue	3	WD	Feb
2018-02-05	High		Mon	2	WD	Feb
2018-02-04	High		Sun	1	WD	Feb
2018-02-03	High		Sat	7	WE	Feb
2018-02-02	High		Fri	6	WE	Feb
2018-02-01	High	Arab Health	Thu	5	WE	Feb
2018-01-31	High	Arab Health	Wed	4	WD	Jan
2018-01-30	High	Arab Health	Tue	3	WD	Jan
2018-01-29	High	Arab Health	Mon	2	WD	Jan
2018-01-28	High	Arab Health	Sun	1	WD	Jan
2018-01-27	High		Sat	7	WE	Jan
2018-01-26	High		Fri	6	WE	Jan
2018-01-25	High		Thu	5	WE	Jan
2018-01-24	High		Wed	4	WD	Jan
2018-01-23	High		Tue	3	WD	Jan
2018-01-22	High		Mon	2	WD	Jan
2018-01-21	High		Sun	1	WD	Jan
2018-01-20	High		Sat	7	WE	Jan
2018-01-19	High		Fri	6	WE	Jan
2018-01-18	High		Thu	5	WE	Jan
2018-01-17	High		Wed	4	WD	Jan
2018-01-16	High		Tue	3	WD	Jan
2018-01-15	High		Mon	2	WD	Jan
2018-01-14	High		Sun	1	WD	Jan
2018-01-13	High		Sat	7	WE	Jan
2018-01-12	High		Fri	6	WE	Jan
2018-01-11	High		Thu	5	WE	Jan
2018-01-10	High	Arabplast	Wed	4	WD	Jan
2018-01-09	High	Arabplast	Tue	3	WD	Jan
2018-01-08	High	Arabplast	Mon	2	WD	Jan
2018-01-07	High		Sun	1	WD	Jan
2018-01-06	High		Sat	7	WE	Jan
2018-01-05	High		Fri	6	WE	Jan
2018-01-04	High		Thu	5	WE	Jan
2018-01-03	High		Wed	4	WD	Jan
2018-01-02	High	NY	Tue	3	WD	Jan
2018-01-01	High	NY	Mon	2	WD	Jan
2017-12-31	Mid	NE	Sun	1	WD	Dec
2017-12-30	Mid	NE	Sat	7	WE	Dec
2017-12-29	Mid	NE	Fri	6	WE	Dec
2017-12-28	Mid	NE	Thu	5	WE	Dec
2017-12-27	Mid		Wed	4	WD	Dec
2017-12-26	Mid		Tue	3	WD	Dec
2017-12-25	Mid		Mon	2	WD	Dec
2017-12-24	Mid		Sun	1	WD	Dec
2017-12-23	Mid		Sat	7	WE	Dec
2017-12-22	Mid		Fri	6	WE	Dec
2017-12-21	Mid		Thu	5	WE	Dec
2017-12-20	Mid		Wed	4	WD	Dec
2017-12-19	Mid		Tue	3	WD	Dec
2017-12-18	Mid		Mon	2	WD	Dec
2017-12-17	Mid		Sun	1	WD	Dec
2017-12-16	Mid		Sat	7	WE	Dec
2017-12-15	Mid		Fri	6	WE	Dec
2017-12-14	Mid		Thu	5	WE	Dec
2017-12-13	Mid		Wed	4	WD	Dec
2017-12-12	Mid		Tue	3	WD	Dec
2017-12-11	Mid		Mon	2	WD	Dec
2017-12-10	Mid		Sun	1	WD	Dec
2017-12-09	Mid		Sat	7	WE	Dec
2017-12-08	Mid		Fri	6	WE	Dec
2017-12-07	Mid		Thu	5	WE	Dec
2017-12-06	Mid		Wed	4	WD	Dec
2017-12-05	Mid		Tue	3	WD	Dec
